latitude,longitude
58.853670300,5.771459500
58.853671000,5.771456700
58.853671200,5.771455700
58.853671800,5.771454200
58.853679000,5.771445000
58.853690500,5.771427200
58.853732800,5.771354700
58.853795000,5.771249200
58.853827500,5.771198800
58.853907300,5.771099200
58.853950500,5.771057200
58.854036300,5.771001200
58.854114000,5.770946200
58.854147200,5.770899700
58.854198800,5.770764500
58.854221800,5.770679800
58.854286800,5.770479200
58.854326500,5.770371700
58.854409800,5.770155500
58.854454300,5.770044300
58.854538200,5.769813800
58.854609500,5.769575200
58.854641800,5.769454200
58.854704500,5.769194500
58.854766500,5.768895300
58.854798500,5.768725300
58.854828200,5.768550500
58.854873000,5.768181800
58.854906800,5.767806700
58.854921200,5.767625500
58.854945800,5.767282200
58.854957700,5.767129300
58.854957700,5.767129300
58.854997700,5.766674000
58.855001300,5.766593800
58.855000800,5.766532000
58.854998200,5.766493300
58.854998300,5.766490300
58.854999700,5.766488700
58.855000000,5.766488500
58.855002300,5.766489200
58.855002500,5.766484500
58.855001000,5.766468700
58.854995800,5.766436700
58.854959200,5.766242300
58.854948700,5.766161000
58.854939300,5.766070800
58.854915000,5.765837700
58.854881500,5.765579700
58.854834700,5.765292700
58.854802200,5.765129700
58.854723200,5.764783500
58.854634200,5.764424300
58.854496800,5.763875500
58.854413000,5.763537000
58.854344300,5.763235700
58.854318800,5.763105700
58.854276700,5.762885000
58.854276700,5.762885000
58.854227800,5.762683000
58.854220800,5.762656000
58.854220800,5.762656000
58.854220500,5.762658000
58.854220500,5.762657300
58.854220500,5.762657000
58.854220300,5.762656200
58.854216300,5.762635700
58.854207200,5.762605200
58.854172200,5.762504200
58.854127800,5.762371200
58.854105500,5.762292000
58.854047500,5.762083800
58.854016500,5.761964300
58.853986500,5.761840500
58.853921500,5.761557700
58.853883300,5.761395300
58.853767500,5.760879200
58.853729500,5.760708500
58.853653500,5.760369300
58.853615500,5.760203300
58.853577800,5.760036200
58.853504300,5.759700200
58.853433200,5.759382500
58.853403300,5.759240200
58.853367500,5.758987200
58.853344800,5.758802000
58.853324000,5.758690700
58.853319700,5.758672800
58.853319000,5.758669800
58.853318800,5.758669700
58.853319200,5.758669700
58.853319200,5.758669700
58.853319200,5.758669800
58.853319300,5.758670300
58.853319300,5.758670800
58.853314500,5.758655200
58.853288200,5.758584700
58.853247500,5.758465500
58.853229200,5.758393700
58.853190000,5.758202000
58.853171300,5.758081800
58.853142300,5.757826200
58.853129000,5.757679000
58.853110700,5.757347000
58.853104200,5.757005200
58.853105800,5.756836700
58.853133000,5.756526200
58.853161000,5.756395200
58.853255300,5.756178200
58.853319800,5.756079000
58.853471500,5.755888700
58.853549200,5.755788300
58.853700300,5.755591800
58.853771300,5.755508700
58.853895200,5.755378000
58.853947800,5.755330000
58.854033200,5.755235000
58.854087500,5.755150700
58.854097000,5.755131700
58.854098800,5.755125800
58.854098800,5.755125500
58.854099000,5.755126200
58.854099000,5.755127000
58.854098500,5.755127700
58.854098500,5.755128500
58.854100300,5.755122300
58.854121300,5.755056000
58.854140800,5.754998500
58.854192300,5.754868200
58.854277700,5.754704500
58.854326000,5.754614500
58.854432000,5.754398500
58.854432000,5.754398500
58.854580500,5.753990300
58.854657300,5.753697500
58.854688500,5.753546200
58.854737000,5.753224300
58.854768800,5.752880700
58.854795700,5.752523500
58.854810300,5.752340800
58.854844300,5.751967700
58.854882800,5.751600300
58.854901000,5.751419000
58.854935000,5.751063800
58.854935000,5.751063800
58.854972500,5.750591800
58.854977500,5.750451200
58.854976800,5.750200800
58.854974700,5.750084000
58.854964700,5.749869700
58.854929700,5.749707500
58.854929700,5.749707500
58.854929700,5.749707500
58.854929700,5.749707500
58.854657200,5.749647700
58.854548500,5.749666500
58.854508000,5.749675800
58.854467000,5.749681100
58.854464000,5.749681400
58.854483500,5.749687800
58.854497400,5.749701100
58.854503500,5.749706400
58.854510700,5.749712600
58.854501100,5.749721500
58.854393900,5.749760600
58.854351300,5.749775300
58.854307600,5.749787200
58.854194100,5.749814700
58.854059000,5.749860000
58.853989900,5.749883500
58.853832700,5.749928800
58.853739300,5.749960000
58.853548900,5.750020200
58.853357400,5.750035700
58.853256400,5.750014100
